trial_id,fold_id,phase,n_bars_saved,n_nonzero_saved,n_rows_dumped,n_nonzero_dumped,nonzero_extra_warmup,warmup_n_bars,pct_warmup_zero
53,1,IS,523,272,262,260,12,261,0.9540229885057472
53,1,OOS,327,78,66,66,12,261,0.9540229885057472
53,2,IS,522,270,261,258,12,261,0.9540229885057472
53,2,OOS,326,75,65,63,12,261,0.9540229885057472
53,3,IS,521,270,260,258,12,261,0.9540229885057472
53,3,OOS,325,75,65,64,11,260,0.9576923076923077
54,1,IS,523,272,262,260,12,261,0.9540229885057472
54,1,OOS,327,78,66,66,12,261,0.9540229885057472
54,2,IS,522,270,261,258,12,261,0.9540229885057472
54,2,OOS,326,75,65,63,12,261,0.9540229885057472
54,3,IS,521,270,260,258,12,261,0.9540229885057472
54,3,OOS,325,75,65,64,11,260,0.9576923076923077
55,1,IS,523,272,262,260,12,261,0.9540229885057472
55,1,OOS,327,78,66,66,12,261,0.9540229885057472
55,2,IS,522,270,261,258,12,261,0.9540229885057472
55,2,OOS,326,75,65,63,12,261,0.9540229885057472
55,3,IS,521,269,260,257,12,261,0.9540229885057472
55,3,OOS,325,75,65,64,11,260,0.9576923076923077
56,1,IS,523,272,262,260,12,261,0.9540229885057472
56,1,OOS,327,78,66,66,12,261,0.9540229885057472
56,2,IS,522,270,261,258,12,261,0.9540229885057472
56,2,OOS,326,75,65,63,12,261,0.9540229885057472
56,3,IS,521,269,260,257,12,261,0.9540229885057472
56,3,OOS,325,75,65,64,11,260,0.9576923076923077
57,1,IS,523,272,262,260,12,261,0.9540229885057472
57,1,OOS,327,78,66,66,12,261,0.9540229885057472
57,2,IS,522,270,261,258,12,261,0.9540229885057472
57,2,OOS,326,75,65,63,12,261,0.9540229885057472
57,3,IS,521,270,260,258,12,261,0.9540229885057472
57,3,OOS,325,75,65,64,11,260,0.9576923076923077
58,1,IS,523,272,262,260,12,261,0.9540229885057472
58,1,OOS,327,78,66,66,12,261,0.9540229885057472
58,2,IS,522,270,261,258,12,261,0.9540229885057472
58,2,OOS,326,75,65,63,12,261,0.9540229885057472
58,3,IS,521,270,260,258,12,261,0.9540229885057472
58,3,OOS,325,75,65,64,11,260,0.9576923076923077
59,1,IS,523,272,262,260,12,261,0.9540229885057472
59,1,OOS,327,78,66,66,12,261,0.9540229885057472
59,2,IS,522,270,261,258,12,261,0.9540229885057472
59,2,OOS,326,75,65,63,12,261,0.9540229885057472
59,3,IS,521,269,260,257,12,261,0.9540229885057472
59,3,OOS,325,75,65,64,11,260,0.9576923076923077
60,1,IS,523,272,262,260,12,261,0.9540229885057472
60,1,OOS,327,78,66,66,12,261,0.9540229885057472
60,2,IS,522,270,261,258,12,261,0.9540229885057472
60,2,OOS,326,75,65,63,12,261,0.9540229885057472
60,3,IS,521,269,260,257,12,261,0.9540229885057472
60,3,OOS,325,75,65,64,11,260,0.9576923076923077
61,1,IS,523,267,262,259,8,261,0.9693486590038314
61,1,OOS,327,71,66,66,5,261,0.9808429118773946
61,2,IS,522,267,261,258,9,261,0.9655172413793104
61,2,OOS,326,69,65,63,6,261,0.9770114942528736
61,3,IS,521,262,260,257,5,261,0.9808429118773946
61,3,OOS,325,64,65,64,0,260,1.0
62,1,IS,523,267,262,259,8,261,0.9693486590038314
62,1,OOS,327,71,66,66,5,261,0.9808429118773946
62,2,IS,522,267,261,258,9,261,0.9655172413793104
62,2,OOS,326,69,65,63,6,261,0.9770114942528736
62,3,IS,521,262,260,257,5,261,0.9808429118773946
62,3,OOS,325,64,65,64,0,260,1.0
63,1,IS,523,267,262,259,8,261,0.9693486590038314
63,1,OOS,327,71,66,66,5,261,0.9808429118773946
63,2,IS,522,267,261,258,9,261,0.9655172413793104
63,2,OOS,326,69,65,63,6,261,0.9770114942528736
63,3,IS,521,262,260,257,5,261,0.9808429118773946
63,3,OOS,325,64,65,64,0,260,1.0
64,1,IS,523,267,262,259,8,261,0.9693486590038314
64,1,OOS,327,71,66,66,5,261,0.9808429118773946
64,2,IS,522,267,261,258,9,261,0.9655172413793104
64,2,OOS,326,69,65,63,6,261,0.9770114942528736
64,3,IS,521,262,260,257,5,261,0.9808429118773946
64,3,OOS,325,64,65,64,0,260,1.0
65,1,IS,523,267,262,259,8,261,0.9693486590038314
65,1,OOS,327,71,66,66,5,261,0.9808429118773946
65,2,IS,522,267,261,258,9,261,0.9655172413793104
65,2,OOS,326,69,65,63,6,261,0.9770114942528736
65,3,IS,521,262,260,257,5,261,0.9808429118773946
65,3,OOS,325,64,65,64,0,260,1.0
66,1,IS,523,267,262,259,8,261,0.9693486590038314
66,1,OOS,327,71,66,66,5,261,0.9808429118773946
66,2,IS,522,267,261,258,9,261,0.9655172413793104
66,2,OOS,326,69,65,63,6,261,0.9770114942528736
66,3,IS,521,262,260,257,5,261,0.9808429118773946
66,3,OOS,325,64,65,64,0,260,1.0
67,1,IS,523,267,262,259,8,261,0.9693486590038314
67,1,OOS,327,71,66,66,5,261,0.9808429118773946
67,2,IS,522,267,261,258,9,261,0.9655172413793104
67,2,OOS,326,69,65,63,6,261,0.9770114942528736
67,3,IS,521,262,260,257,5,261,0.9808429118773946
67,3,OOS,325,64,65,64,0,260,1.0
68,1,IS,523,267,262,259,8,261,0.9693486590038314
68,1,OOS,327,71,66,66,5,261,0.9808429118773946
68,2,IS,522,267,261,258,9,261,0.9655172413793104
68,2,OOS,326,69,65,63,6,261,0.9770114942528736
68,3,IS,521,262,260,257,5,261,0.9808429118773946
68,3,OOS,325,64,65,64,0,260,1.0
69,1,IS,523,267,262,259,8,261,0.9693486590038314
69,1,OOS,327,71,66,66,5,261,0.9808429118773946
69,2,IS,522,267,261,258,9,261,0.9655172413793104
69,2,OOS,326,69,65,63,6,261,0.9770114942528736
69,3,IS,521,262,260,257,5,261,0.9808429118773946
69,3,OOS,325,64,65,64,0,260,1.0
70,1,IS,523,267,262,259,8,261,0.9693486590038314
70,1,OOS,327,71,66,66,5,261,0.9808429118773946
70,2,IS,522,267,261,258,9,261,0.9655172413793104
70,2,OOS,326,69,65,63,6,261,0.9770114942528736
70,3,IS,521,262,260,257,5,261,0.9808429118773946
70,3,OOS,325,64,65,64,0,260,1.0
71,1,IS,523,267,262,259,8,261,0.9693486590038314
71,1,OOS,327,71,66,66,5,261,0.9808429118773946
71,2,IS,522,267,261,258,9,261,0.9655172413793104
71,2,OOS,326,69,65,63,6,261,0.9770114942528736
71,3,IS,521,262,260,257,5,261,0.9808429118773946
71,3,OOS,325,64,65,64,0,260,1.0
72,1,IS,523,267,262,259,8,261,0.9693486590038314
72,1,OOS,327,71,66,66,5,261,0.9808429118773946
72,2,IS,522,267,261,258,9,261,0.9655172413793104
72,2,OOS,326,69,65,63,6,261,0.9770114942528736
72,3,IS,521,262,260,257,5,261,0.9808429118773946
72,3,OOS,325,64,65,64,0,260,1.0
